endpoint1,endpoint2
767,1229
924,1573
858,1251
714,970
24,30
477,1057
769,1076
900,997
572,1843
1825,1994
313,1593
62,1741
10,344
328,1628
1287,1835
331,1775
438,1667
975,1434
723,1633
446,1280
539,643
618,1105
1690,1878
835,971
106,798
1251,1750
1294,1993
332,726
426,457
964,1889
388,1374
1,835
386,1459
1206,1719
290,1301
112,1271
654,1342
736,877
895,1498
746,978
874,1553
1127,1552
163,1155
1530,1680
82,1135
749,1336
1854,1999
135,1681
338,1507
745,1641
788,822
1245,1523
373,512
447,1921
207,1669
883,1607
229,1741
423,946
626,1915
317,1702
1588,1942
1396,1494
386,1309
1042,1917
958,1709
223,608
991,1843
1197,1346
27,1230
1348,1688
536,874
990,1222
570,1247
366,1079
1030,1296
522,1044
1514,1920
530,748
966,1583
15,953
492,784
170,273
414,1585
761,1070
698,1161
307,998
1018,1920
1423,1651
540,1267
473,1620
752,1684
155,480
60,1372
253,1538
198,1160
773,999
556,1753
1486,1596
343,1865
410,1489
211,1825
393,1076
894,1425
719,1336
430,1618
1275,1672
641,1359
1633,1646
722,1876
60,1762
1117,1994
1615,1930
436,1527
1252,1855
1356,1770
1333,1372
82,1482
9,1509
427,1273
388,612
709,1210
326,1055
837,1043
1212,1822
509,1962
1341,1882
1142,1430
675,1592
46,726
8,1010
56,62
20,985
742,1955
1768,1884
818,1308
408,947
1393,1737
525,1375
301,1851
567,991
702,1352
1120,1958
1191,1855
756,1434
22,475
863,1632
520,991
828,1605
759,816
340,1387
564,871
876,1339
1181,1908
958,1138
116,733
613,931
1699,1964
447,711
334,714
522,626
1709,1741
62,1690
70,873
1141,1228
747,904
1,1378
1122,1807
337,1246
1121,1879
1175,1727
67,1241
1593,1801
485,1144
324,1627
1416,1864
1686,1731
90,397
101,1469
1262,1566
129,1734
449,586
1471,1500
907,1603
48,85
355,1974
1520,1819
1129,1390
327,1298
278,1477
1569,1760
9,763
603,1372
916,1587
460,1058
1409,1899
1253,1845
938,1171
1602,1834
303,1815
834,1696
749,1278
763,1406
450,1817
579,1646
211,1440
1497,1736
1689,1875
853,1967
952,1762
303,346
499,1959
164,1335
1172,1369
177,1388
1042,1082
547,861
841,1171
1489,1933
1664,1726
571,1306
681,1514
889,965
1288,1293
120,641
1406,1432
328,1405
1666,1913
924,1475
1096,1586
378,1723
372,673
518,817
50,627
112,1203
835,1391
377,900
554,1979
953,1980
1134,1299
679,1582
128,1097
620,844
573,1170
1090,1925
552,1734
1761,1872
18,236
467,978
1645,1710
407,751
341,1733
207,274
1348,1932
626,996
167,569
398,778
1459,1928
92,1310
1001,1447
592,1240
689,1985
198,782
168,459
1770,1925
661,1646
93,1936
385,1082
1004,1135
641,856
872,1976
432,563
290,1831
500,673
449,830
78,1007
1303,1602
1032,1853
689,1881
1340,1688
613,1112
1286,1588
127,1272
1563,1829
886,1944
100,1723
1901,1914
1020,1359
340,1935
482,999
237,1943
270,1483
675,1989
359,911
1585,1797
684,1697
1008,1046
1263,1978
188,916
1513,1867
82,274
11,70
373,747
587,949
296,835
711,1240
1618,1725
503,998
847,1265
447,1643
1414,1539
725,957
393,1075
996,1512
1401,1794
574,1725
118,676
596,1174
1834,1938
542,1956
482,1820
123,868
253,337
1891,1995
767,1826
1468,1506
783,1763
316,431
274,1874
213,1827
159,537
763,1188
1004,1440
176,1851
149,1875
937,1579
685,1353
152,1312
1486,1715
1776,1814
500,838
1007,1445
28,898
406,1243
48,1705
1128,1391
594,1963
3,1393
405,985
742,902
1026,1595
594,1954
872,1275
170,1656
232,1749
782,1157
709,1610
977,1354
124,1426
1562,1661
287,1684
541,1759
129,596
167,1885
374,872
647,1646
829,1959
334,1598
868,1149
136,598
1375,1729
392,1305
697,991
714,1549
448,1653
320,805
213,385
97,1767
782,1734
614,1914
222,494
26,513
342,1387
138,1861
813,1204
482,538
905,1130
1084,1575
887,1511
78,1885
258,1186
230,1718
136,1147
324,1584
679,905
924,1097
573,892
1668,1806
87,204
1771,1933
253,1592
997,1697
1367,1792
301,930
680,1206
660,1555
806,985
349,371
328,962
205,1044
226,908
539,927
609,899
655,1317
780,1805
1489,1991
127,1685
1372,1994
465,1604
345,624
201,1837
1109,1393
736,783
220,702
1654,1896
1186,1423
787,1765
327,1944
607,1959
1158,1854
266,1286
838,1527
68,101
452,1292
351,716
326,1068
171,622
814,1798
1308,1335
496,1887
256,1460
553,790
519,696
264,1504
1132,1609
834,1679
6,1470
46,690
1024,1803
41,581
1208,1580
468,922
1642,1893
187,1025
759,1264
1515,1898
102,1933
62,849
605,1266
721,1998
1514,1670
908,1368
1536,1760
428,1565
208,488
874,940
1380,1845
365,1811
792,1900
55,1602
1042,1894
1125,1745
505,1330
553,622
478,1751
217,1525
277,1431
49,163
1507,1630
8,1428
25,811
571,1275
645,748
1801,1875
161,638
249,289
944,1494
610,1877
787,1888
1247,1761
620,851
1878,1957
112,475
1424,1548
816,1480
1146,1237
1251,1928
564,1273
47,1546
86,701
488,1224
301,1912
403,1367
670,836
295,589
205,227
84,611
1210,1640
54,1819
1601,1767
170,1015
148,1823
1285,1306
975,1357
1062,1796
863,951
1456,1612
931,1150
388,1227
1497,1808
261,1273
568,861
1302,1815
1326,1366
1257,1362
541,550
1078,1758
393,1901
1027,1396
148,1220
1593,1595
479,1980
1542,1833
181,787
219,1470
92,1569
1463,1870
305,383
146,516
521,524
73,216
240,755
739,1158
369,1306
602,1770
529,820
357,1489
377,1199
883,946
953,1600
436,473
1002,1785
1581,1908
132,432
780,1073
245,1296
295,1168
585,768
689,833
501,1829
216,1966
823,906
182,939
1386,1768
60,513
720,1451
1094,1137
16,1454
12,1278
547,1837
1174,1582
1297,1915
648,1129
38,1566
504,1759
42,135
79,1421
651,1618
57,655
863,1543
211,892
532,905
1000,1942
1101,1476
279,1798
684,1186
622,984
897,1230
659,921
130,1415
900,1319
523,1740
1338,1617
483,1973
81,802
1256,1587
723,1956
763,896
491,873
703,848
1363,1457
259,969
1101,1339
383,463
420,1872
826,1117
15,610
2,820
1594,1841
444,1234
230,1036
788,953
997,1550
1806,1893
878,1522
364,425
540,1608
190,1841
1235,1460
611,1597
364,1793
672,1442
569,1541
1198,1851
1208,1531
713,1252
34,458
52,578
351,370
274,1154
884,1615
1549,1978
291,1811
280,618
19,1968
1035,1801
328,1769
1433,1838
693,1734
1107,1373
1340,1804
239,1740
294,949
967,1655
901,1921
606,967
272,1965
796,1124
5,1095
1026,1416
1268,1429
419,1327
262,1394
556,1343
101,1622
959,1588
744,774
64,1928
679,1676
1059,1471
1780,1812
280,1590
638,1479
191,1094
1392,1724
991,1617
246,1538
974,1653
195,482
463,1376
395,554
753,1535
518,1742
1110,1541
744,795
381,615
307,1411
293,674
610,1986
349,746
370,1420
1737,1915
1009,1752
494,515
651,1597
1127,1134
646,1912
333,1672
134,363
38,519
938,1048
1739,1829
276,1056
57,1735
410,1192
1879,1970
713,832
1571,1621
31,1939
143,1083
121,518
565,1777
815,1657
451,1988
987,1751
18,1434
250,1009
570,1363
1044,1232
587,911
597,625
573,915
1184,1913
80,512
126,1122
364,1481
108,1599
938,1564
550,1432
800,804
285,942
665,1680
181,783
43,1778
1,94
1554,1854
411,909
355,1404
1367,1769
3,57
373,394
268,1159
306,1097
333,1879
6,1919
200,980
896,1843
1070,1856
1653,1744
808,1182
889,1296
407,1400
1549,1992
348,929
602,1129
463,754
664,1958
391,929
763,1886
360,361
1449,1685
584,1329
987,1040
118,1773
1335,1587
1114,1769
1494,1736
1208,1323
631,729
109,1591
547,1124
1076,1926
987,1925
55,469
34,1907
640,905
724,840
1248,1579
1206,1494
129,740
703,1212
1256,1380
34,713
62,552
1176,1270
347,883
643,768
1582,1938
903,1852
481,1928
98,1583
379,720
332,1645
639,1247
884,1846
221,941
608,1960
503,1529
65,874
980,1038
874,1205
1238,1981
233,1697
147,1945
546,1172
477,1612
179,430
1793,1879
1715,1884
319,1626
577,584
1157,1951
1152,1372
242,597
1,1652
1743,1846
769,993
115,1743
63,497
726,1408
346,600
122,338
205,1207
664,939
409,1142
436,1331
324,391
945,1675
258,608
374,1854
1160,1897
1463,1936
499,1813
383,1422
376,502
514,1954
698,1410
358,1874
18,1952
327,1952
1185,1387
1256,1698
398,1977
542,1556
1205,1230
1421,1567
669,727
1213,1236
365,780
385,705
299,580
685,1094
1504,1785
63,1631
10,158
477,1654
606,1591
1680,1798
117,1767
553,1884
535,991
1555,1749
136,1751
1056,1884
80,1924
1587,1784
1138,1463
207,1253
1313,1326
1049,1433
962,1471
941,1126
1255,1449
1509,1783
730,1567
1094,1772
365,671
21,793
79,1413
524,1556
1257,1541
1053,1856
64,1701
385,591
1314,1782
396,573
437,1300
1165,1672
850,1142
647,1676
1111,1898
32,627
675,1972
505,1195
38,810
1744,1806
91,556
191,1062
887,1015
349,1414
1047,1298
511,1273
33,462
301,518
743,1274
319,1600
72,599
299,1779
497,1417
1173,1653
870,1533
567,1863
783,1794
486,1382
1158,1954
271,724
356,1845
520,1697
1282,1676
836,1168
495,707
1024,1094
863,1984
5,1915
442,881
1156,1613
687,787
1066,1428
649,774
470,1003
1492,1511
670,1734
1097,1941
189,1401
1180,1437
1567,1680
1281,1380
1947,1960
683,690
39,1790
1147,1979
187,1199
642,1045
865,1529
716,1865
723,1073
332,1103
438,1009
571,1400
844,1933
1479,1839
1331,1948
975,1368
304,1768
740,911
261,1785
499,1577
425,1263
476,586
509,1689
136,264
137,1393
262,1955
373,797
1058,1909
28,1226
1220,1228
229,819
1499,1521
905,1322
1554,1677
702,803
1030,1259
145,1793
1313,1355
849,1416
217,1951
609,1873
35,110
38,1174
616,769
674,901
1124,1876
791,961
1034,1109
219,1642
1742,1850
431,1473
895,1233
251,978
879,1914
1397,1878
1146,1262
764,1492
841,1796
436,535
141,1814
958,1203
758,1797
669,1317
797,1674
182,985
298,442
106,1493
874,946
134,1070
1814,1996
198,1539
784,1456
875,1480
8,265
1625,1916
1007,1728
25,1803
320,1226
1356,1613
902,1453
354,1495
297,1754
502,1108
594,1544
428,1409
677,1899
1712,1860
341,433
69,272
657,1201
189,626
458,1475
780,1551
1119,1926
42,1161
531,757
1575,1745
754,1488
784,1343
1803,1902
1566,1872
890,1063
378,1361
194,736
730,1982
95,1456
457,1659
1779,1818
1473,1658
512,1873
1585,1759
1174,1345
558,1157
1478,1903
534,1657
1113,1180
414,479
726,1696
1289,1666
24,1653
915,1044
397,1488
1829,1961
790,1541
198,573
751,1879
142,1293
16,1683
424,1178
1271,1802
197,505
827,1184
252,1641
79,742
429,1358
44,825
1153,1715
520,1472
897,959
540,1224
110,1635
252,1426
403,561
559,1242
1409,1552
179,991
442,938
1504,1769
1484,1839
686,891
751,1227
859,961
361,1320
48,1916
119,303
111,1962
384,1260
862,1480
106,986
993,1523
323,1541
819,1411
236,1666
1229,1774
181,1390
1417,1559
251,905
662,894
513,1000
639,1081
956,1395
657,1206
444,622
146,307
449,1255
18,1617
727,1617
19,637
397,758
31,448
1069,1205
37,491
466,615
123,1119
1401,1963
585,1755
812,1287
398,584
246,1758
27,704
273,1194
1137,1374
868,1344
3,948
1877,1968
1090,1753
619,722
1271,1702
682,1623
1334,1364
1016,1952
1196,1829
187,926
400,1301
397,689
1023,1551
97,983
907,1480
130,1826
350,1621
1168,1782
1525,1587
529,1624
1252,1687
1194,1856
91,1322
647,1819
342,514
25,499
1340,1369
574,692
291,663
54,1401
1328,1471
752,1332
436,720
1365,1991
772,1775
144,153
264,511
355,987
593,1154
459,1706
382,884
720,1368
1030,1744
1577,1764
232,1033
641,1767
895,1385
271,565
1151,1210
149,1441
1529,1783
663,1581
636,1896
773,916
1582,1977
338,378
368,1549
869,1774
53,1717
850,1048
1498,1990
333,1836
825,1867
219,304
701,859
286,671
556,718
15,353
223,1060
1354,1398
1790,1845
633,1950
1023,1089
646,1412
849,852
566,1971
1252,1776
51,927
329,744
1233,1243
1038,1807
1045,1299
1002,1339
806,1702
1164,1753
12,219
596,1168
125,1781
1074,1710
93,186
770,1360
70,715
154,652
17,1647
1020,1828
31,732
93,970
874,1475
126,1257
606,1678
903,927
237,1652
247,1501
1540,1625
637,1922
47,361
434,1394
981,1267
123,813
1612,1654
675,681
1107,1937
523,1884
661,1817
171,611
919,1748
459,1821
556,591
297,464
1053,1946
711,957
2,83
505,641
1134,1414
1618,1831
1125,1494
364,1105
649,1364
765,1089
259,1952
1231,1867
532,647
28,1426
210,572
251,1071
42,413
91,450
223,854
1085,1788
116,620
588,907
950,1811
921,937
776,1545
1045,1975
260,1197
656,1575
379,686
186,528
1261,1563
1777,1822
133,494
728,1723
813,1730
403,985
273,619
202,1269
1160,1979
410,1725
1268,1465
1585,1866
912,1674
1086,1781
450,1088
1277,1453
1342,1464
240,1464
1134,1454
123,490
537,805
758,900
311,1378
1177,1736
237,1761
879,1766
509,1191
841,956
876,1269
168,1618
1292,1431
215,1944
789,1255
1244,1583
341,1623
1117,1487
900,1620
803,1733
189,614
1442,1484
5,1624
685,1745
201,845
364,1337
1451,1786
779,1736
1083,1265
1441,1506
133,855
926,1045
1299,1494
251,834
1348,1620
58,1525
809,1861
288,1189
340,747
1381,1605
147,1040
439,1709
1167,1277
1631,1814
164,1831
291,650
403,1461
680,1861
1475,1772
1000,1004
1205,1580
523,995
15,973
399,1154
724,777
1124,1781
774,1600
573,1879
811,822
1245,1407
770,958
20,370
1473,1699
403,1333
928,1044
566,1770
1335,1366
280,1223
249,270
1522,1763
754,1255
1801,1815
896,1993
713,1262
584,1207
1108,1228
172,749
535,1147
875,903
966,1924
361,800
178,1955
1232,1676
53,947
824,847
332,815
826,832
562,668
264,1173
360,380
466,1461
321,1157
493,1350
385,1625
166,1091
1100,1206
1559,1803
287,315
318,1778
1151,1634
1262,1741
1155,1222
1014,1293
1566,1743
461,1521
842,887
1430,1500
509,1847
897,1893
647,684
1447,1679
124,1135
624,1040
60,681
1898,1930
1144,1646
315,1858
32,860
1674,1823
537,1406
758,1547
45,299
509,1632
411,1790
633,1370
532,1346
508,1880
1355,1798
171,624
650,1215
813,1825
236,1193
885,1080
1544,1828
801,1532
31,1437
1586,1596
707,1468
22,1042
1058,1252
56,409
303,537
1075,1572
231,311
174,1362
74,479
230,1690
1343,1902
1243,1663
921,1042
1093,1251
1133,1555
245,612
415,1930
657,964
427,737
42,858
0,738
1006,1444
1860,1883
719,935
142,1180
10,1563
1775,1854
1066,1501
1691,1730
198,1667
1366,1697
346,1483
579,1980
981,1168
26,535
639,643
373,602
382,1326
1410,1732
1133,1194
149,1546
123,677
197,1716
168,1001
791,1605
1801,1954
340,1685
1476,1505
114,1039
24,1604
610,1913
403,1560
763,1151
549,1731
784,1910
687,1610
626,1491
227,1917
823,1054
585,809
629,1579
605,1774
466,1404
861,1892
923,1956
399,1980
644,898
458,1808
318,1638
30,1952
644,1483
154,472
0,227
1046,1736
217,946
433,1509
636,1411
62,1252
267,346
462,1133
597,1244
1166,1298
1291,1926
948,992
495,1206
1091,1431
343,396
123,1934
1403,1996
642,1415
1471,1814
87,1717
177,1626
1042,1776
1129,1183
203,1945
435,1041
412,739
14,611
906,1970
1360,1954
1414,1808
1477,1781
211,481
857,1318
73,347
409,1759
666,1338
232,1003
110,1586
1251,1672
346,562
294,1639
1308,1776
244,991
1146,1969
748,1394
702,1157
112,1674
120,1044
628,857
904,1711
390,664
146,1315
244,1297
228,1043
1430,1723
755,1162
111,989
32,1890
1155,1967
771,896
484,1959
373,585
58,505
480,998
552,1007
80,1099
196,1986
64,1524
642,741
24,1382
1081,1185
950,1667
1028,1912
790,1135
1292,1346
627,1904
245,1658
454,1488
7,102
1528,1683
1432,1773
564,1918
1659,1986
1031,1553
841,1054
47,948
119,1222
587,1907
175,360
173,237
703,1800
1795,1915
1322,1959
1043,1259
625,959
431,1204
179,1879
1125,1332
436,1671
549,1874
609,1318
30,1284
615,1825
1555,1934
664,1295
893,1301
518,679
881,1826
445,1939
83,1242
514,1712
521,1014
457,1859
1250,1560
348,864
860,1716
1745,1833
260,1336
111,1512
812,1679
955,1338
498,1570
111,829
916,1715
165,566
1156,1328
26,1422
648,1913
85,779
1083,1967
522,1714
678,1788
874,1323
131,1770
782,874
817,1587
1559,1958
1465,1857
154,1951
383,549
1099,1658
545,1932
470,1252
1136,1299
566,695
1407,1621
390,704
399,1335
635,1028
156,687
1098,1495
374,1084
693,1451
172,1276
565,987
458,1819
301,1534
1487,1662
383,560
556,1590
466,997
15,416
199,729
217,974
168,1599
378,971
280,974
644,1566
167,822
1352,1710
1165,1387
479,1509
357,1374
1974,1992
853,1629
25,957
1293,1566
165,1955
1163,1768
1813,1967
1027,1502
1567,1965
417,1686
331,1993
76,447
552,1313
663,1496
1057,1472
180,478
1037,1705
637,1275
774,1740
312,890
1771,1971
1025,1570
230,1607
1011,1581
871,1770
421,1782
552,1832
274,828
767,1095
1264,1619
642,898
91,252
575,1755
559,645
912,1230
1852,1905
590,1481
1028,1108
647,1480
1496,1711
677,837
1088,1205
113,1512
828,1708
750,1251
1149,1889
947,973
424,445
706,1568
837,1800
619,1444
450,1903
154,399
1380,1600
458,1904
240,903
239,872
2,287
0,520
435,522
381,779
388,785
1465,1855
649,1743
638,1610
443,1961
418,669
865,1645
1421,1678
510,1782
949,1123
16,214
990,1933
211,1362
81,1482
256,1995
333,1468
309,343
582,1721
687,1127
98,1897
904,1255
262,583
687,903
885,1387
677,1523
802,1701
1338,1602
443,774
35,280
95,859
1454,1865
496,1654
150,1797
560,880
1701,1751
249,1781
654,1318
325,919
620,1327
76,1850
1908,1924
752,1130
521,1012
536,607
1070,1529
451,917
335,1817
353,1720
943,1649
411,814
828,1917
593,1676
827,965
232,328
153,1382
78,1165
600,1800
570,1996
321,1950
180,650
241,819
520,883
129,255
1343,1408
427,1633
1460,1947
575,637
235,1863
119,1421
369,1998
1255,1606
981,1540
826,1154
1071,1906
494,635
293,1859
481,1733
540,1304
520,1639
668,1119
751,842
54,954
17,262
1495,1852
1106,1322
73,437
297,1446
525,1028
74,311
216,268
508,729
1602,1642
1062,1699
1258,1339
73,840
3,1001
78,1483
768,1925
252,303
263,395
440,1911
1116,1877
1367,1802
1229,1451
159,1795
371,412
151,462
497,500
642,1085
246,1235
1596,1650
405,1376
715,1303
782,969
145,633
940,1609
373,1749
1849,1971
638,1785
139,1995
1113,1375
612,1765
772,1623
589,1937
232,1466
22,317
405,1792
648,1047
748,1597
598,1112
874,1128
529,1256
8,299
348,779
305,1888
149,725
302,602
277,569
234,1907
822,1188
256,1533
1355,1625
110,254
33,1131
665,1133
369,1381
345,1935
401,834
774,788
240,249
197,700
1230,1977
1233,1413
515,1808
1616,1842
234,1744
199,779
191,1785
572,1824
28,1500
367,1772
123,1091
33,1781
486,1012
828,1779
197,655
38,301
296,1883
976,1145
320,1253
256,1268
1084,1791
835,1570
1032,1526
1441,1778
590,1027
851,1073
270,1684
430,1576
251,676
668,1798
350,1942
60,1820
1625,1736
387,1907
1526,1882
621,1937
1234,1495
956,1619
135,1448
1228,1757
925,1917
671,1958
491,1701
43,1877
891,1634
998,1704
391,1858
103,1462
151,192
1092,1676
790,1089
1041,1345
145,1750
586,1430
636,911
1098,1908
1798,1820
108,891
266,1354
842,844
410,1866
525,1636
956,1660
767,885
374,1339
352,701
40,1746
126,137
956,1777
235,552
55,1121
118,171
6,103
290,1219
209,1007
266,1757
1130,1931
1328,1972
427,1640
289,1305
228,1141
397,1828
167,1272
1526,1761
533,810
1595,1663
76,1372
179,863
1480,1778
209,383
155,1701
1478,1904
796,1499
31,1329
331,1967
905,1030
120,460
992,1724
481,1258
1103,1538
153,459
1107,1532
1724,1891
1781,1923
25,1631
348,1650
461,1858
56,788
695,1660
942,1810
431,1548
619,1163
606,1542
1338,1426
223,1379
65,1386
554,1272
676,1736
276,1573
1563,1848
1317,1832
1422,1868
1140,1846
258,1719
626,1819
1229,1776
101,187
700,1374
575,1894
143,1847
1111,1194
1533,1742
311,1858
163,958
205,477
692,788
237,674
1019,1227
175,1058
337,1667
787,1309
975,1829
1320,1861
1630,1743
1203,1323
1508,1908
31,1904
576,1221
1110,1146
217,692
144,1622
1295,1954
1260,1690
1172,1322
80,1936
1280,1800
428,518
518,1653
387,1043
777,1290
1169,1819
1289,1557
797,1499
29,1798
633,1966
807,1812
1360,1381
536,632
1749,1859
307,1120
407,589
1009,1227
401,1736
679,852
640,1441
572,1323
1200,1956
49,1337
515,1712
890,1451
695,1232
991,1250
571,1268
525,587
508,1308
241,252
289,1971
1220,1488
946,1851
1002,1373
314,1878
1626,1783
1235,1656
1075,1218
1360,1729
1162,1693
437,1606
97,1726
385,1879
310,1364
1651,1759
360,777
1053,1209
321,1312
807,1073
1137,1800
601,1382
1520,1978
962,1795
612,1145
1066,1564
626,654
141,1638
1012,1294
172,1207
175,1178
456,1189
412,1037
731,947
362,1151
249,804
971,1851
96,1492
648,689
766,1106
614,1488
477,1846
1821,1906
954,1305
1216,1964
1804,1854
1216,1710
374,1078
218,419
1187,1817
213,1665
161,543
600,1308
624,1535
199,1299
2,791
763,1304
147,743
650,1690
185,686
608,1007
211,1679
840,1228
1441,1961
498,1183
311,1748
635,840
1256,1737
1102,1538
1651,1942
690,1215
782,1091
120,1383
112,273
666,1248
1297,1681
1969,1974
1239,1956
754,1165
1496,1885
383,715
517,866
654,944
77,1650
667,1018
1300,1342
712,1567
1098,1298
1139,1707
123,1899
909,1654
1697,1948
52,77
624,1644
480,1872
385,1238
84,1777
1735,1982
799,1102
871,1254
431,1280
393,1737
610,711
1207,1393
246,1803
1069,1612
705,1125
373,1543
399,1881
